config,odor_id,odor_name,R_Global,R_Local
Full model,0,"2,3 Pentanedione",0.2725,1.073646501560097
Full model,1,3 Methylvaleric Acid,0.6532,0.9322774663319848
Full model,2,Acetic Acid,0.3642,1.1233602761143966
Full model,3,Gerinol,0.20989999999999995,0.9982444507581805
Full model,4,n Methyl Piperdine,0.44889999999999997,0.8901151767762068
Full model,5,"2,4 Dimethyl Acetophenone",0.4411999999999999,1.047803961459589
Full model,6,4 Heptanone,0.55,1.0710764572039193
Full model,7,33 Dimethyl Butyric Acid,0.6345,0.9557932240560274
Full model,8,2 Methyl Butyraldehyde,0.35529999999999995,0.9348558882389413
Full model,9,m Anisaldehyde,0.4694999999999999,1.0928265975006606
w/o contrast,0,"2,3 Pentanedione",0.2112344,0.9995183164196884
w/o contrast,1,3 Methylvaleric Acid,0.4244264,0.8708724943621062
w/o contrast,2,Acetic Acid,0.2625864,1.044757851264101
w/o contrast,3,Gerinol,0.17617839999999996,0.9309024501899441
w/o contrast,4,n Methyl Piperdine,0.3100184,0.8325048108663482
w/o contrast,5,"2,4 Dimethyl Acetophenone",0.30570639999999993,0.9760016049282261
w/o contrast,6,4 Heptanone,0.3666344,0.9971795760555666
w/o contrast,7,33 Dimethyl Butyric Acid,0.41395439999999994,0.892271833890985
w/o contrast,8,2 Methyl Butyraldehyde,0.25760239999999995,0.8732188582974365
w/o contrast,9,m Anisaldehyde,0.32155439999999996,1.016972203725601
w/o stimulus,0,"2,3 Pentanedione",0.21318376,0.9513349960784228
w/o stimulus,1,3 Methylvaleric Acid,0.43170555999999993,0.8309592625816851
w/o stimulus,2,Acetic Acid,0.26581955999999995,0.9936662751114087
w/o stimulus,3,Gerinol,0.17725135999999994,0.8871301498205906
w/o stimulus,4,n Methyl Piperdine,0.31443736,0.7950580730249401
w/o stimulus,5,"2,4 Dimethyl Acetophenone",0.3100175599999999,0.92933007318284
w/o stimulus,6,4 Heptanone,0.37246876,0.9491466033091374
w/o stimulus,7,33 Dimethyl Butyric Acid,0.4209717599999999,0.8509829302837073
w/o stimulus,8,2 Methyl Butyraldehyde,0.26071095999999994,0.8331547888354585
w/o stimulus,9,m Anisaldehyde,0.32626175999999996,0.9676668477718124
w/o subject,0,"2,3 Pentanedione",0.23323432,0.9999301396704683
w/o subject,1,3 Methylvaleric Acid,0.50657692,0.8712136330952722
w/o subject,2,Acetic Acid,0.29907492,1.045194531402158
w/o subject,3,Gerinol,0.18828751999999996,0.9312765724153231
w/o subject,4,n Methyl Piperdine,0.35988951999999996,0.8328248684547361
w/o subject,5,"2,4 Dimethyl Acetophenone",0.35436091999999997,0.9764005069089559
w/o subject,6,4 Heptanone,0.43247932,0.9975901142841685
w/o subject,7,33 Dimethyl Butyric Acid,0.4931503199999999,0.8926247305030128
w/o subject,8,2 Methyl Butyraldehyde,0.29268471999999995,0.873561286241556
w/o subject,9,m Anisaldehyde,0.37468031999999996,1.0173936170243514
w/o recon,0,"2,3 Pentanedione",0.2195888,0.4312022303432213
w/o recon,1,3 Methylvaleric Acid,0.4556228,0.4001010425930366
w/o recon,2,Acetic Acid,0.2764428,0.4421392607451672
w/o recon,3,Gerinol,0.18077679999999996,0.41461377916679965
w/o recon,4,n Methyl Piperdine,0.3289568,0.39082533889076543
w/o recon,5,"2,4 Dimethyl Acetophenone",0.3241828,0.4255168715211095
w/o recon,6,4 Heptanone,0.39163880000000006,0.4306368205848622
w/o recon,7,33 Dimethyl Butyric Acid,0.4440288,0.405274509292326
w/o recon,8,2 Methyl Butyraldehyde,0.27092479999999997,0.400668295412567
w/o recon,9,m Anisaldehyde,0.34172879999999994,0.4354218514501453
