odor,mouse_id,bootstrap,MI_noisy,MI_denoised
"2,3 Pentanedione",0,0,1.68205,2.41329
"2,3 Pentanedione",0,1,1.48899,2.40904
"2,3 Pentanedione",0,2,1.55811,2.46431
"2,3 Pentanedione",0,3,1.49363,2.50081
"2,3 Pentanedione",0,4,1.39938,2.38539
"2,3 Pentanedione",0,5,1.40569,2.47801
"2,3 Pentanedione",0,6,1.49319,2.43291
"2,3 Pentanedione",0,7,1.39613,2.58829
"2,3 Pentanedione",0,8,1.50447,2.39964
"2,3 Pentanedione",0,9,1.53622,2.43238
"2,3 Pentanedione",0,10,1.49463,2.51690
"2,3 Pentanedione",0,11,1.36495,2.55689
"2,3 Pentanedione",0,12,1.48626,2.42441
"2,3 Pentanedione",0,13,1.53399,2.58402
"2,3 Pentanedione",0,14,1.50252,2.36506
"2,3 Pentanedione",1,0,1.58601,2.47895
"2,3 Pentanedione",1,1,1.51376,2.51055
"2,3 Pentanedione",1,2,1.57566,2.51989
"2,3 Pentanedione",1,3,1.40983,2.52312
"2,3 Pentanedione",1,4,1.44146,2.45882
"2,3 Pentanedione",1,5,1.49278,2.52976
"2,3 Pentanedione",1,6,1.50153,2.53184
"2,3 Pentanedione",1,7,1.61756,2.51851
"2,3 Pentanedione",1,8,1.59125,2.53401
"2,3 Pentanedione",1,9,1.51866,2.43280
"2,3 Pentanedione",1,10,1.46112,2.37728
"2,3 Pentanedione",1,11,1.65609,2.45956
"2,3 Pentanedione",1,12,1.42597,2.48814
"2,3 Pentanedione",1,13,1.45393,2.50006
"2,3 Pentanedione",1,14,1.48557,2.55797
3 Methylvaleric Acid,0,0,1.50839,2.74769
3 Methylvaleric Acid,0,1,1.35416,2.69747
3 Methylvaleric Acid,0,2,1.43530,2.73926
3 Methylvaleric Acid,0,3,1.46298,2.72641
3 Methylvaleric Acid,0,4,1.37757,2.75207
3 Methylvaleric Acid,0,5,1.51637,2.80743
3 Methylvaleric Acid,0,6,1.48306,2.80039
3 Methylvaleric Acid,0,7,1.40832,2.79632
3 Methylvaleric Acid,0,8,1.45620,2.78102
3 Methylvaleric Acid,0,9,1.42405,2.72321
3 Methylvaleric Acid,0,10,1.45587,2.83638
3 Methylvaleric Acid,0,11,1.54885,2.81107
3 Methylvaleric Acid,0,12,1.46740,2.76987
3 Methylvaleric Acid,0,13,1.61494,2.78111
3 Methylvaleric Acid,0,14,1.46619,2.78835
