odor,method,mouse_id,trial,R_global
"2,3 Pentanedione",MPI B/S,0,0,0.09853166756110593
"2,3 Pentanedione",MPI B/S,0,1,0.11506907409246286
"2,3 Pentanedione",MPI B/S,0,2,0.09874756582284566
"2,3 Pentanedione",MPI B/S,0,3,0.1095311449041185
"2,3 Pentanedione",MPI B/S,0,4,0.09305543212193956
"2,3 Pentanedione",MPI B/S,0,5,0.10023456434077473
"2,3 Pentanedione",MPI B/S,0,6,0.0928937012907916
"2,3 Pentanedione",MPI B/S,0,7,0.09891744532222667
"2,3 Pentanedione",MPI B/S,0,8,0.11054457746215667
"2,3 Pentanedione",MPI B/S,0,9,0.08523031198683372
"2,3 Pentanedione",MPI B/S,0,10,0.10654295978713214
"2,3 Pentanedione",MPI B/S,0,11,0.10460381120177685
"2,3 Pentanedione",MPI B/S,0,12,0.09640224646466153
"2,3 Pentanedione",MPI B/S,0,13,0.08800328135011706
"2,3 Pentanedione",MPI B/S,0,14,0.10297109971548578
"2,3 Pentanedione",MPI B/S,1,0,0.07356225053397569
"2,3 Pentanedione",MPI B/S,1,1,0.08107647852014206
"2,3 Pentanedione",MPI B/S,1,2,0.07899796278276881
"2,3 Pentanedione",MPI B/S,1,3,0.09457447010459093
"2,3 Pentanedione",MPI B/S,1,4,0.07642271377238345
"2,3 Pentanedione",MPI B/S,1,5,0.06869185439151196
"2,3 Pentanedione",MPI B/S,1,6,0.08055000191515291
"2,3 Pentanedione",MPI B/S,1,7,0.08095147098315154
"2,3 Pentanedione",MPI B/S,1,8,0.09218276085529234
"2,3 Pentanedione",MPI B/S,1,9,0.08701588916161931
"2,3 Pentanedione",MPI B/S,1,10,0.0823009162740785
"2,3 Pentanedione",MPI B/S,1,11,0.09320923438387614
"2,3 Pentanedione",MPI B/S,1,12,0.0670625002213089
"2,3 Pentanedione",MPI B/S,1,13,0.0724752081258337
"2,3 Pentanedione",MPI B/S,1,14,0.06964740454988443
"2,3 Pentanedione",Median,0,0,0.08186477768391227
"2,3 Pentanedione",Median,0,1,0.07661172720104435
"2,3 Pentanedione",Median,0,2,0.08732054789575376
"2,3 Pentanedione",Median,0,3,0.08275682817573948
"2,3 Pentanedione",Median,0,4,0.07611073446150873
"2,3 Pentanedione",Median,0,5,0.07853386634240016
"2,3 Pentanedione",Median,0,6,0.08560850369719746
"2,3 Pentanedione",Median,0,7,0.08840096814330996
"2,3 Pentanedione",Median,0,8,0.09456811059951482
"2,3 Pentanedione",Median,0,9,0.09944991619415407
"2,3 Pentanedione",Median,0,10,0.08614556146421021
"2,3 Pentanedione",Median,0,11,0.07867247994323717
"2,3 Pentanedione",Median,0,12,0.0725910158577966
"2,3 Pentanedione",Median,0,13,0.08536470188497992
"2,3 Pentanedione",Median,0,14,0.0796124893894561
"2,3 Pentanedione",Median,1,0,0.08498058104007294
"2,3 Pentanedione",Median,1,1,0.08393335487483214
"2,3 Pentanedione",Median,1,2,0.08644207216858175
"2,3 Pentanedione",Median,1,3,0.09286560196125333
"2,3 Pentanedione",Median,1,4,0.08802744372582164
"2,3 Pentanedione",Median,1,5,0.08634709048828856
"2,3 Pentanedione",Median,1,6,0.08167880082342857
"2,3 Pentanedione",Median,1,7,0.07827730820076029
"2,3 Pentanedione",Median,1,8,0.08460291737172658
"2,3 Pentanedione",Median,1,9,0.08690520940144812
"2,3 Pentanedione",Median,1,10,0.09660201447236746
"2,3 Pentanedione",Median,1,11,0.08788492798317367
"2,3 Pentanedione",Median,1,12,0.09242251939509938
"2,3 Pentanedione",Median,1,13,0.08453378511538374
"2,3 Pentanedione",Median,1,14,0.08088414404354696
"2,3 Pentanedione",N2S,0,0,0.11461782652430916
"2,3 Pentanedione",N2S,0,1,0.11777613431791809
"2,3 Pentanedione",N2S,0,2,0.1553467852964755
"2,3 Pentanedione",N2S,0,3,0.11651012099716222
"2,3 Pentanedione",N2S,0,4,0.13836340246207443
"2,3 Pentanedione",N2S,0,5,0.11543659044543435
"2,3 Pentanedione",N2S,0,6,0.13958890775545113
"2,3 Pentanedione",N2S,0,7,0.13239229410163467
"2,3 Pentanedione",N2S,0,8,0.1252619453812324
"2,3 Pentanedione",N2S,0,9,0.1267875155366461
"2,3 Pentanedione",N2S,0,10,0.11870349853943146
"2,3 Pentanedione",N2S,0,11,0.13319699255762835
"2,3 Pentanedione",N2S,0,12,0.12133404326571481
"2,3 Pentanedione",N2S,0,13,0.11118832945920222
"2,3 Pentanedione",N2S,0,14,0.11049934915813926
"2,3 Pentanedione",N2S,1,0,0.1323062923212179
"2,3 Pentanedione",N2S,1,1,0.1508237692345334
"2,3 Pentanedione",N2S,1,2,0.13214045427103321
"2,3 Pentanedione",N2S,1,3,0.1284721206570824
"2,3 Pentanedione",N2S,1,4,0.13379714278825708
"2,3 Pentanedione",N2S,1,5,0.14722837870491784
"2,3 Pentanedione",N2S,1,6,0.1329223716424815
"2,3 Pentanedione",N2S,1,7,0.12462395841219942
"2,3 Pentanedione",N2S,1,8,0.14459903446442762
"2,3 Pentanedione",N2S,1,9,0.13567890761350407
"2,3 Pentanedione",N2S,1,10,0.15025323396721207
"2,3 Pentanedione",N2S,1,11,0.13244646026367604
"2,3 Pentanedione",N2S,1,12,0.11391318290135925
"2,3 Pentanedione",N2S,1,13,0.11202141394025669
"2,3 Pentanedione",N2S,1,14,0.15176954301938755
"2,3 Pentanedione",CNMF,0,0,0.11224403906176358
"2,3 Pentanedione",CNMF,0,1,0.09617930925873083
"2,3 Pentanedione",CNMF,0,2,0.09446015256323848
"2,3 Pentanedione",CNMF,0,3,0.11003063545464355
"2,3 Pentanedione",CNMF,0,4,0.08835008476294214
"2,3 Pentanedione",CNMF,0,5,0.09014226054869598
"2,3 Pentanedione",CNMF,0,6,0.10312492896754621
"2,3 Pentanedione",CNMF,0,7,0.09436377522420479
"2,3 Pentanedione",CNMF,0,8,0.09765139229214764
"2,3 Pentanedione",CNMF,0,9,0.09631500897355857
"2,3 Pentanedione",CNMF,0,10,0.10054408297146028
"2,3 Pentanedione",CNMF,0,11,0.10957514011267017
"2,3 Pentanedione",CNMF,0,12,0.09845925044141843
"2,3 Pentanedione",CNMF,0,13,0.10313009483018894
"2,3 Pentanedione",CNMF,0,14,0.08038918153176303
"2,3 Pentanedione",CNMF,1,0,0.09265761251303968
"2,3 Pentanedione",CNMF,1,1,0.08595116046936856
"2,3 Pentanedione",CNMF,1,2,0.0827808768389545
"2,3 Pentanedione",CNMF,1,3,0.08565638404666313
"2,3 Pentanedione",CNMF,1,4,0.09024851671251748
"2,3 Pentanedione",CNMF,1,5,0.10079995041984366
"2,3 Pentanedione",CNMF,1,6,0.08187280001670307
"2,3 Pentanedione",CNMF,1,7,0.09332740271188941
"2,3 Pentanedione",CNMF,1,8,0.08898198276380466
"2,3 Pentanedione",CNMF,1,9,0.09030296390218089
"2,3 Pentanedione",CNMF,1,10,0.10153309338853783
"2,3 Pentanedione",CNMF,1,11,0.09761106022745157
"2,3 Pentanedione",CNMF,1,12,0.10435778247551739
"2,3 Pentanedione",CNMF,1,13,0.09176466511926741
"2,3 Pentanedione",CNMF,1,14,0.08719441139928819
"2,3 Pentanedione",FBCL,0,0,0.2751278015365181
"2,3 Pentanedione",FBCL,0,1,0.2804614093179075
"2,3 Pentanedione",FBCL,0,2,0.27970745733769026
"2,3 Pentanedione",FBCL,0,3,0.2652861153806394
"2,3 Pentanedione",FBCL,0,4,0.2787229381699509
"2,3 Pentanedione",FBCL,0,5,0.2802982240275549
"2,3 Pentanedione",FBCL,0,6,0.3064798298773592
"2,3 Pentanedione",FBCL,0,7,0.2991530902968322
"2,3 Pentanedione",FBCL,0,8,0.2679296673495681
"2,3 Pentanedione",FBCL,0,9,0.27440128511893525
"2,3 Pentanedione",FBCL,0,10,0.2609509579317717
"2,3 Pentanedione",FBCL,0,11,0.27093223839896946
"2,3 Pentanedione",FBCL,0,12,0.28129753206049457
"2,3 Pentanedione",FBCL,0,13,0.29147911210283506
"2,3 Pentanedione",FBCL,0,14,0.269349652725769
"2,3 Pentanedione",FBCL,1,0,0.26289184292105483
"2,3 Pentanedione",FBCL,1,1,0.2458150954867206
"2,3 Pentanedione",FBCL,1,2,0.26851279885577095
"2,3 Pentanedione",FBCL,1,3,0.2582225708180116
"2,3 Pentanedione",FBCL,1,4,0.26431808993452127
"2,3 Pentanedione",FBCL,1,5,0.2603447074176911
"2,3 Pentanedione",FBCL,1,6,0.26929511329641
"2,3 Pentanedione",FBCL,1,7,0.2502704158814555
"2,3 Pentanedione",FBCL,1,8,0.2535948958751359
"2,3 Pentanedione",FBCL,1,9,0.2947249103242002
"2,3 Pentanedione",FBCL,1,10,0.25564920126420376
"2,3 Pentanedione",FBCL,1,11,0.2578294752523048
"2,3 Pentanedione",FBCL,1,12,0.29138155463260584
"2,3 Pentanedione",FBCL,1,13,0.3035977957827969
"2,3 Pentanedione",FBCL,1,14,0.2569742206243217
3 Methylvaleric Acid,MPI B/S,0,0,0.2156602760830687
3 Methylvaleric Acid,MPI B/S,0,1,0.22660140086765831
3 Methylvaleric Acid,MPI B/S,0,2,0.24798319623991683
3 Methylvaleric Acid,MPI B/S,0,3,0.20612487784604516
3 Methylvaleric Acid,MPI B/S,0,4,0.2175557871061959
3 Methylvaleric Acid,MPI B/S,0,5,0.23331866662719905
3 Methylvaleric Acid,MPI B/S,0,6,0.22803817389182474
3 Methylvaleric Acid,MPI B/S,0,7,0.21553839361422733
3 Methylvaleric Acid,MPI B/S,0,8,0.21927378375493037
3 Methylvaleric Acid,MPI B/S,0,9,0.20014354056328731
3 Methylvaleric Acid,MPI B/S,0,10,0.21766529171663715
3 Methylvaleric Acid,MPI B/S,0,11,0.21723039716096615
3 Methylvaleric Acid,MPI B/S,0,12,0.2249152997552351
3 Methylvaleric Acid,MPI B/S,0,13,0.21277659953962816
3 Methylvaleric Acid,MPI B/S,0,14,0.2286049946694913
